,項目,日期,場次,隊伍,背號,球員
0,第一個進球,2020/12/19,G01,福爾摩沙台新夢想家,6,楊敬敏
1,第一個 2分球,2020/12/19,G01,福爾摩沙台新夢想家,6,楊敬敏
2,第一個犯規,2020/12/19,G01,臺北富邦勇士,12,林志傑
3,第一個罰球,2020/12/19,G01,福爾摩沙台新夢想家,6,楊敬敏
4,第一個抄截,2020/12/19,G01,臺北富邦勇士,14,蔡文誠
5,第一個3分球,2020/12/19,G01,福爾摩沙台新夢想家,2,塔克（Anthony Tucker）
6,第一個助攻,2020/12/19,G01,福爾摩沙台新夢想家,18,楊盛硯
7,第一個灌籃,2020/12/19,G01,臺北富邦勇士,17,辛特力（Michael Singletary）
8,第一個進攻籃板,2020/12/19,G01,臺北富邦勇士,14,蔡文誠
9,第一個防守籃板,2020/12/19,G01,福爾摩沙台新夢想家,18,楊盛硯
10,第一個阻攻,2020/12/19,G01,臺北富邦勇士,17,辛特力（Michael Singletary）
11,第一個大三元,2020/12/20,G02,桃園領航猿,5,里德 （Davon Reed）
12,第一個教練挑戰,2020/12/20,G02,桃園領航猿,-,楊宜峰 教練
13,第一個教練挑戰 成功,2020/12/20,G02,桃園領航猿,-,楊宜峰 教練
14,第一次30秒短暫停,2020/12/19,G01,臺北富邦勇士,3,張宗憲
15,第一個六犯,2021/1/9,G08,福爾摩沙台新夢想家,26,李德威
16,技術犯規,2021/1/2,G05,桃園領航猿,50,戴維斯
17,違反運動精神犯規,2021/12/19,G01,福爾摩沙台新夢想家,12,杰倫 (Jerran Young)
18,奪權犯規,2021/1/31,G20,臺北富邦勇士,76,曾文鼎
