,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD,TD,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD_RANK,TD_RANK,CFID,CFPARAMS
0,203932,Aaron Gordon,Aaron,1610612743,DEN,26.0,56,34,22,0.607,31.6,5.7,10.9,0.52,1.2,3.5,0.338,2.1,2.8,0.739,1.6,4.2,5.8,2.6,1.8,0.7,0.5,0.7,1.9,2.5,14.6,4.8,27.3,4,0,54,37,176,176,78,86,110,100,173,182,246,95,91,320,74,95,79,133,86,211,133,75,206,94,95,30,103,91,34,5,"203932,1610612743"
1,1630565,Aaron Henry,Aaron,1610612755,PHI,22.0,6,6,0,1.0,2.8,0.2,0.8,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0.3,-3.3,1.2,0,0,496,440,569,1,571,554,566,553,492,519,492,520,526,520,543,566,571,548,473,525,245,274,543,542,562,487,578,226,34,5,"1630565,1610612755"
2,1628988,Aaron Holiday,Aaron,1610612756,PHX,25.0,46,22,24,0.478,16.3,2.5,5.2,0.481,0.6,1.6,0.387,0.6,0.8,0.784,0.2,1.4,1.7,2.0,1.0,0.6,0.2,0.2,1.4,1.0,6.3,-1.5,12.7,0,0,205,209,142,327,325,288,296,174,309,347,107,354,369,224,495,404,452,180,214,265,358,370,331,311,305,374,338,226,34,5,"1628988,1610612756"
3,1630174,Aaron Nesmith,Aaron,1610612738,BOS,22.0,43,25,18,0.581,10.5,1.3,3.4,0.381,0.5,2.1,0.25,0.4,0.4,0.842,0.3,1.4,1.7,0.4,0.6,0.3,0.1,0.0,1.2,0.5,3.5,0.2,6.6,0,0,237,152,257,214,439,429,417,449,337,291,420,444,463,136,475,419,453,493,368,444,457,504,381,443,431,241,471,226,34,5,"1630174,1610612738"
4,1630598,Aaron Wiggins,Aaron,1610612760,OKC,23.0,37,10,27,0.27,22.3,2.6,5.7,0.467,0.8,2.5,0.301,1.0,1.4,0.706,0.9,2.6,3.4,1.0,0.8,0.7,0.2,0.3,1.9,1.1,7.0,-2.8,14.6,0,0,298,393,101,504,219,274,276,205,274,246,356,270,252,364,206,260,241,332,287,218,321,314,201,296,277,465,295,226,34,5,"1630598,1610612760"
5,1627846,Abdel Nader,Abdel,1610612756,PHX,28.0,14,11,3,0.786,10.4,0.9,2.5,0.343,0.3,1.0,0.286,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.8,0.6,0.3,0.1,1.4,1.0,2.4,-0.1,7.3,0,0,443,380,491,48,441,496,468,500,406,405,381,414,392,447,470,373,415,454,302,273,287,445,333,317,485,274,450,226,34,5,"1627846,1610612756"
6,1630278,Ade Murkey,Ade,1610612758,SAC,24.0,1,0,1,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0,0,571,565,535,565,587,562,583,562,492,544,492,520,526,520,543,567,572,548,546,525,498,512,569,542,566,340,584,226,34,5,"1630278,1610612758"
7,1629678,Admiral Schofield,Admiral,1610612753,ORL,24.0,26,7,19,0.269,10.6,1.2,2.7,0.464,0.5,1.6,0.341,0.2,0.3,0.714,0.3,1.5,1.9,0.6,0.5,0.1,0.2,0.2,1.3,0.5,3.2,-1.6,6.7,0,0,377,425,239,505,437,443,463,217,335,351,237,492,501,344,438,385,422,428,413,507,399,439,374,447,448,386,467,226,34,5,"1629678,1610612753"
8,1629958,Ahmad Caver,Ahmad,1610612754,IND,25.0,1,0,1,0.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0,0,571,565,535,565,593,466,551,1,492,544,492,520,526,520,543,567,572,548,546,525,498,512,569,542,495,114,562,226,34,5,"1629958,1610612754"
9,201143,Al Horford,Al,1610612738,BOS,35.0,53,32,21,0.604,28.5,3.8,8.5,0.449,1.2,3.9,0.303,1.2,1.5,0.835,1.5,6.0,7.6,3.4,1.0,0.6,1.3,0.2,1.9,1.3,10.1,4.2,29.0,11,0,104,60,195,179,127,163,165,264,171,152,351,196,231,142,88,37,42,92,212,267,18,393,221,251,165,45,90,45,34,5,"201143,1610612738"
